                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.91714,                0.64218,                 1.0088,                0.75882,                0.66172,                0.72575,                0.45985,                 1.1627,                0.77306,                 1.1031,              0.0008045,              0.0008045,              0.0008045
                     84,                0.91867,                0.63861,                 1.0073,                 0.7583,                0.68822,                0.72472,                 0.4644,                 1.1636,                0.76064,                 1.0918,               0.000799,               0.000799,               0.000799
                     85,                0.90836,                 0.6299,                 1.0063,                0.71281,                0.71495,                0.72237,                0.45963,                 1.1428,                0.77999,                  1.096,              0.0007935,              0.0007935,              0.0007935
                     86,                0.89838,                0.62341,                 1.0019,                0.75576,                 0.6635,                0.72024,                0.45421,                 1.1823,                0.76864,                 1.1118,               0.000788,               0.000788,               0.000788
                     87,                 0.9124,                0.63189,                 1.0058,                0.72243,                0.71077,                0.73725,                0.47074,                 1.1412,                0.75927,                   1.09,              0.0007825,              0.0007825,              0.0007825
                     88,                0.89399,                0.62216,                 1.0004,                0.74793,                0.68705,                0.73487,                0.46853,                 1.1552,                0.76226,                 1.1055,               0.000777,               0.000777,               0.000777
                     89,                0.89045,                0.62413,                0.99906,                0.72182,                0.68997,                0.73292,                0.45966,                 1.1705,                0.77103,                 1.1148,              0.0007715,              0.0007715,              0.0007715
                     90,                0.89811,                0.62228,                  1.003,                0.73534,                0.73146,                0.73061,                0.45682,                 1.1559,                0.76237,                 1.1141,               0.000766,               0.000766,               0.000766
                     91,                0.88365,                  0.616,                0.99687,                0.79896,                0.67809,                0.74005,                0.46691,                 1.1373,                 0.7613,                 1.1084,              0.0007605,              0.0007605,              0.0007605
                     92,                0.88807,                0.61154,                0.99736,                0.70669,                0.73158,                0.74545,                0.47068,                 1.1384,                0.73763,                 1.0961,               0.000755,               0.000755,               0.000755
                     93,                0.89089,                0.62043,                 1.0033,                0.78373,                0.68072,                0.73904,                0.46239,                 1.1442,                0.75943,                 1.1023,              0.0007495,              0.0007495,              0.0007495
                     94,                0.87562,                0.60825,                0.98894,                0.77058,                0.70214,                0.75079,                0.46947,                 1.1574,                0.73677,                 1.1142,               0.000744,               0.000744,               0.000744
                     95,                 0.8742,                0.60566,                0.99472,                0.71061,                0.74362,                0.73176,                0.46976,                  1.137,                0.75147,                 1.0885,              0.0007385,              0.0007385,              0.0007385
                     96,                0.87928,                0.60955,                0.99503,                0.76522,                0.67722,                0.73478,                0.46604,                 1.1452,                0.74039,                 1.0979,               0.000733,               0.000733,               0.000733
                     97,                0.87468,                0.60499,                0.99518,                0.77343,                0.65886,                0.74218,                0.46292,                 1.1311,                0.74061,                 1.0983,              0.0007275,              0.0007275,              0.0007275
                     98,                0.87069,                0.60372,                0.99175,                0.75763,                0.66271,                0.73688,                0.46615,                 1.1519,                0.74351,                 1.1027,               0.000722,               0.000722,               0.000722
                     99,                0.87494,                 0.6084,                0.98864,                0.68962,                0.71594,                0.73326,                0.45696,                  1.153,                0.75238,                 1.1139,              0.0007165,              0.0007165,              0.0007165
                    100,                0.85659,                0.59574,                0.98652,                0.72167,                0.69729,                0.73433,                0.45882,                 1.1282,                0.75421,                 1.1035,               0.000711,               0.000711,               0.000711
                    101,                0.87044,                0.60215,                0.99119,                0.75331,                0.69004,                0.73834,                0.46704,                 1.1382,                0.73087,                  1.098,              0.0007055,              0.0007055,              0.0007055
                    102,                0.87039,                0.60511,                0.99201,                0.74802,                0.69814,                0.74198,                 0.4666,                 1.1339,                0.75566,                 1.0965,                 0.0007,                 0.0007,                 0.0007
                    103,                0.86449,                0.59711,                0.99259,                0.71161,                0.73281,                0.74582,                 0.4663,                 1.1274,                0.73566,                 1.0873,              0.0006945,              0.0006945,              0.0006945
                    104,                0.85312,                0.59004,                0.98439,                0.71751,                0.71069,                0.74509,                 0.4667,                 1.1194,                0.73932,                 1.0811,               0.000689,               0.000689,               0.000689
                    105,                0.86536,                0.59521,                0.98781,                 0.7492,                0.69003,                0.74746,                 0.4728,                 1.1388,                0.75503,                 1.0933,              0.0006835,              0.0006835,              0.0006835
                    106,                0.85635,                0.59181,                0.98801,                0.72763,                0.72299,                0.74615,                0.47548,                 1.1373,                0.73861,                  1.094,               0.000678,               0.000678,               0.000678
                    107,                0.84265,                0.58366,                 0.9833,                0.69681,                0.71904,                0.73901,                0.46252,                 1.1448,                0.75533,                 1.0912,              0.0006725,              0.0006725,              0.0006725
                    108,                 0.8484,                0.58927,                0.98285,                0.75233,                0.67195,                0.73155,                0.46243,                 1.1319,                0.73925,                 1.1005,               0.000667,               0.000667,               0.000667
                    109,                0.84604,                0.58197,                0.97798,                 0.8165,                0.64675,                0.74811,                0.46859,                 1.1298,                0.74705,                 1.0913,              0.0006615,              0.0006615,              0.0006615
                    110,                0.84846,                0.58788,                0.98504,                0.77949,                0.65766,                0.72872,                0.46231,                 1.1337,                0.73989,                 1.0959,               0.000656,               0.000656,               0.000656
                    111,                0.84472,                0.58035,                0.97788,                0.75918,                0.68236,                0.73742,                 0.4724,                 1.1215,                0.73385,                 1.0876,              0.0006505,              0.0006505,              0.0006505
                    112,                0.84139,                0.58182,                0.97739,                0.77586,                0.68256,                0.73641,                0.46792,                 1.1398,                0.74626,                 1.0944,               0.000645,               0.000645,               0.000645
                    113,                0.83886,                0.58143,                0.97861,                0.71617,                0.69856,                0.72728,                0.45382,                 1.1424,                0.73323,                 1.1005,              0.0006395,              0.0006395,              0.0006395
                    114,                0.84705,                0.58218,                0.98288,                0.79514,                0.64889,                0.73452,                0.46951,                 1.1421,                0.73232,                 1.1128,               0.000634,               0.000634,               0.000634
                    115,                0.84413,                0.58003,                0.98419,                0.73477,                0.70787,                0.72828,                0.46433,                 1.1342,                 0.7407,                 1.1049,              0.0006285,              0.0006285,              0.0006285
                    116,                0.83166,                0.57267,                0.98148,                0.75268,                0.68276,                0.73669,                0.46616,                  1.128,                0.72767,                 1.0959,               0.000623,               0.000623,               0.000623
                    117,                0.82721,                0.56952,                0.97659,                0.80015,                0.64269,                0.73371,                0.47007,                 1.1321,                0.74482,                 1.0988,              0.0006175,              0.0006175,              0.0006175
                    118,                0.83526,                0.57114,                0.97705,                0.74848,                0.69017,                0.73766,                0.46303,                 1.1312,                0.74439,                 1.0948,               0.000612,               0.000612,               0.000612
                    119,                0.83023,                0.57172,                0.97624,                0.74288,                0.69886,                0.73942,                0.47295,                 1.1215,                0.72478,                 1.0891,              0.0006065,              0.0006065,              0.0006065
                    120,                0.83482,                0.56897,                0.97379,                0.77952,                0.69696,                0.74255,                0.46959,                 1.1385,                0.73164,                 1.1024,               0.000601,               0.000601,               0.000601
                    121,                0.81904,                0.56323,                0.97311,                0.78083,                0.67618,                0.74416,                0.47441,                 1.1419,                0.73485,                 1.1073,              0.0005955,              0.0005955,              0.0005955
                    122,                0.82477,                0.56533,                0.97219,                0.73779,                0.72454,                0.73184,                0.46671,                  1.132,                0.74754,                  1.099,                0.00059,                0.00059,                0.00059
                    123,                0.82047,                0.56526,                 0.9707,                0.77363,                0.69793,                0.73943,                0.46959,                 1.1424,                0.71992,                  1.103,              0.0005845,              0.0005845,              0.0005845
                    124,                0.81539,                0.56266,                0.97179,                0.71336,                0.72589,                0.73452,                0.46504,                 1.1329,                0.72725,                 1.1069,               0.000579,               0.000579,               0.000579
                    125,                0.81386,                0.55666,                0.96854,                  0.776,                0.71725,                0.74739,                0.47562,                  1.127,                0.73411,                 1.0969,              0.0005735,              0.0005735,              0.0005735
                    126,                0.81314,                0.55636,                0.96857,                0.76713,                0.67508,                0.72985,                0.47158,                  1.128,                0.72474,                  1.097,               0.000568,               0.000568,               0.000568
                    127,                 0.8075,                0.54945,                0.96617,                0.75884,                 0.6862,                0.74391,                0.47465,                 1.1398,                0.74002,                 1.0989,              0.0005625,              0.0005625,              0.0005625
                    128,                0.81143,                 0.5524,                0.96971,                0.78666,                0.66892,                0.74002,                0.47446,                 1.1247,                0.73066,                 1.0984,               0.000557,               0.000557,               0.000557
                    129,                0.81346,                0.55448,                 0.9709,                0.73918,                0.68497,                0.73719,                0.46767,                 1.1218,                0.73389,                 1.0912,              0.0005515,              0.0005515,              0.0005515
                    130,                0.81441,                0.55998,                0.97066,                0.79727,                0.67266,                0.74213,                0.47167,                 1.1308,                0.73314,                 1.1022,               0.000546,               0.000546,               0.000546
                    131,                0.80554,                0.55255,                0.96516,                0.77767,                0.68676,                0.73566,                0.46983,                 1.1355,                0.74477,                 1.0959,              0.0005405,              0.0005405,              0.0005405
                    132,                0.79819,                0.54439,                0.96199,                0.74409,                0.70559,                0.73408,                0.46505,                 1.1553,                0.73726,                 1.1172,               0.000535,               0.000535,               0.000535
                    133,                0.80199,                0.54752,                0.96064,                0.74656,                0.72417,                0.73527,                0.47578,                 1.1405,                0.72872,                 1.1047,              0.0005295,              0.0005295,              0.0005295
                    134,                 0.8001,                0.54902,                0.96457,                0.73517,                0.74117,                0.74034,                0.47356,                 1.1335,                 0.7367,                  1.093,               0.000524,               0.000524,               0.000524
                    135,                 0.7925,                  0.541,                0.95859,                0.78039,                0.68637,                0.74332,                 0.4773,                 1.1194,                0.73749,                 1.0991,              0.0005185,              0.0005185,              0.0005185
                    136,                0.79609,                0.54413,                0.96552,                 0.7936,                0.68479,                0.73371,                0.47089,                 1.1421,                0.73822,                 1.0937,               0.000513,               0.000513,               0.000513
                    137,                0.80047,                0.54809,                 0.9625,                0.74164,                0.71034,                0.72808,                0.46612,                 1.1381,                0.74473,                 1.1099,              0.0005075,              0.0005075,              0.0005075
                    138,                 0.7918,                0.54336,                0.96325,                0.76494,                0.66963,                0.72784,                0.46743,                 1.1373,                0.74232,                  1.103,               0.000502,               0.000502,               0.000502
                    139,                0.78254,                0.53429,                0.95953,                0.73108,                 0.7056,                0.73689,                0.48263,                  1.126,                0.71955,                 1.0951,              0.0004965,              0.0004965,              0.0004965
                    140,                0.78639,                0.53684,                0.95885,                0.75846,                0.69329,                0.74211,                0.47974,                 1.1209,                0.73311,                 1.0919,               0.000491,               0.000491,               0.000491
                    141,                0.79796,                0.54361,                0.96082,                0.73886,                0.70556,                0.73736,                0.47417,                 1.1332,                0.73537,                 1.1012,              0.0004855,              0.0004855,              0.0004855
                    142,                0.79064,                0.53899,                0.95656,                0.74491,                0.70106,                0.73482,                0.46932,                 1.1399,                0.73795,                 1.1085,                0.00048,                0.00048,                0.00048
                    143,                0.78178,                0.53396,                0.95614,                0.73087,                0.70582,                0.72232,                0.46279,                 1.1317,                0.75074,                 1.0977,              0.0004745,              0.0004745,              0.0004745
                    144,                0.77802,                0.53388,                0.95583,                0.76241,                0.69778,                0.72374,                0.47309,                 1.1277,                0.72189,                 1.0979,               0.000469,               0.000469,               0.000469
                    145,                0.77526,                0.53236,                0.95346,                0.71741,                   0.72,                0.72387,                0.47195,                 1.1252,                0.74195,                 1.0911,              0.0004635,              0.0004635,              0.0004635
                    146,                0.77674,                0.52951,                0.95587,                0.73466,                0.69783,                0.72621,                0.47232,                 1.1178,                 0.7298,                 1.1027,               0.000458,               0.000458,               0.000458
                    147,                0.78053,                0.53104,                 0.9584,                0.76267,                0.68026,                0.73297,                0.47307,                 1.1227,                0.72812,                 1.0935,              0.0004525,              0.0004525,              0.0004525
                    148,                0.76789,                0.52816,                0.95406,                0.74731,                0.68358,                0.72983,                0.47206,                 1.1249,                0.73212,                 1.0984,               0.000447,               0.000447,               0.000447
                    149,                0.76642,                0.52571,                0.95342,                0.79155,                0.66547,                0.73122,                0.47405,                  1.137,                0.73345,                 1.1111,              0.0004415,              0.0004415,              0.0004415
                    150,                0.76121,                0.52451,                0.95496,                0.72231,                0.72266,                0.73433,                0.47234,                 1.1279,                 0.7189,                 1.1075,               0.000436,               0.000436,               0.000436
                    151,                 0.7772,                0.52753,                0.95317,                0.77383,                0.68227,                0.72808,                0.46872,                 1.1209,                0.72872,                  1.104,              0.0004305,              0.0004305,              0.0004305
                    152,                0.76187,                0.52006,                0.94517,                0.75444,                0.69133,                0.73457,                 0.4745,                 1.1127,                0.72213,                 1.1015,               0.000425,               0.000425,               0.000425
                    153,                0.76942,                0.52229,                 0.9544,                0.77332,                 0.6912,                 0.7407,                0.47579,                 1.1171,                0.72327,                 1.0963,              0.0004195,              0.0004195,              0.0004195
                    154,                0.75815,                0.51799,                0.95192,                0.72201,                0.72823,                0.74367,                0.47364,                  1.116,                0.71667,                 1.0954,               0.000414,               0.000414,               0.000414
